"symbol","log2FC","pvalue","padj"
"ABCC9",0.603170408755128,0.0249606101851495,0.176651151112113
"ABCD1",0.138801316968071,0.264324136400694,0.565887407599049
"ABCD2",0.0031859607970462,0.781441052122572,0.898850704545654
"ABCD3",-0.0298419098899148,0.753446078067007,0.882615142110479
"ABCD4",-0.206676784846143,0.0405193299479745,0.223011231438385
"ABCE1",0.215375072298127,0.163979766254712,0.454540404706044
"ABCF1",-0.0222837628823664,0.799759625199365,0.907997773014976
"ABCF2",0.302846884618333,0.0636937165223585,0.281195748954002
"ABCF3",-0.0958658274122599,0.292048259023016,0.596045154494796
"ABCG1",0.374704349503211,0.487731061976768,0.707039046580376
"ABCG2",-0.0990341196095368,0.346756556255944,0.632969171284309
"ABCG4",-0.0151719122700016,0.723729815654028,0.864950817134271
"ABCG8",0.00392751894926554,0.391002218955771,0.632969171284309
"ABHD1",0.0172360329998658,0.859952165114397,0.936955311785161
"ABHD10",-0.551231504325977,0.00106168750015954,0.0437774024884864
"ABHD11",-0.458755146568615,0.00135253894146247,0.0493561231473075
"ABHD11-AS1",-0.239471302385238,0.583850405439944,0.778041362788686
"ABHD12",0.231149024475457,0.0461938993664884,0.238441498084551
"ABHD12B",-0.0108288319060057,0.816963397830818,0.917313766665364
"ABHD13",0.260239338938526,0.0201998985242263,0.160748537759749
"ABHD14A",-0.0463063014114922,0.730805221064084,0.869769653142226
"ABHD14A-ACY1",0.723229707292085,0.225603383357693,0.518064061464421
"ABHD14B",0.187311227355036,0.29498416247452,0.599015859602755
"ABHD15",0.539585256093395,0.00835588834583157,0.107445216950559
"ABHD16A",0.00384890410238947,0.945171413936505,0.976764017572062
"ABHD16B",-0.104727669353825,0.57133253841197,0.769831280004037
"ABHD2",0.383421948763886,0.0695166637534899,0.29378016727178
"ABHD3",0.593602249717206,0.00751582589117885,0.102364948307308
"ABHD4",-0.212346977674212,0.061845970959614,0.277386245010187
"ABHD5",1.09936243766595,0.00208065234234824,0.0598779300018527
"ABHD6",0.348276551833783,0.0278232250205364,0.186149309730973
"ABHD8",-0.03573803735065,0.781605699364367,0.898850704545654
"ABI1",0.170306492197857,0.142735591185644,0.424277069302816
"ABI2",-0.221231201789871,0.0621401353540044,0.278384368480803
"ABI3",-0.00247549824699072,0.935423367962775,0.972868336347456
"ABI3BP",0.153780058445248,0.590106418656724,0.782060020470184
"ABL1",-0.109759870346348,0.384106929697636,0.632969171284309
"ABL2",0.419885877033924,0.00234455513811189,0.063312829308968
"ABLIM1",1.18623063756393,0.00166297484524154,0.0541292201377029
"ABLIM2",0.126586631039919,0.365207443202669,0.632969171284309
"ABLIM3",-0.220561237453511,0.389613087704471,0.632969171284309
"ABP1",-0.00603640225683343,0.391002218955771,0.632969171284309
"ABR",-0.437268143191847,0.00319330421072221,0.0724984509709993
"ABRA",0.0273792691016425,0.305808770938233,0.610988758549772
"ABT1",0.0503960409060498,0.221628942287817,0.513904679799767
"ABTB1",0.513275819770252,0.0107949771321316,0.121493930019838
"ABTB2",0.174204705235223,0.429522294573041,0.661594378436434
"ACAA1",0.062503612854039,0.414469371373973,0.650249614844886
"ACAA2",0.209964277027651,0.0931250798615204,0.339675826206604
"ACACA",-0.128872413142208,0.260865160232986,0.56131355313076
"ACACB",0.226949200387533,0.30115981787342,0.605698578023646
"ACAD10",-0.0440894890987806,0.499470577056223,0.715714399144585
"ACAD11",-0.504795697503683,0.00346866196984522,0.0748282635941876
"ACAD8",0.0326179049793485,0.519357123378587,0.732328542514589
"ACAD9",-0.0769967727642817,0.414678231452336,0.650327368467131
"ACADL",0.142523709344444,0.350877393444627,0.632969171284309
"ACADM",0.345220240100881,0.111565211551611,0.373265791781856
"ACADS",0.928049152204809,0.0156185143247422,0.142375503543983
"ACADSB",0.300215160875109,0.0353006897494842,0.208639476939687
"ACADVL",-0.0823263477876983,0.665457382191506,0.83078497075802
"ACAN",0.406443018526761,0.528330226264694,0.738782416794689
"ACAP1",-0.140647065353284,0.281839666375223,0.584616509375182
"ACAP2",-0.186037221169348,0.0430764799325048,0.231044268923727
"ACAP3",-0.404049918522967,0.16593188535113,0.456500603045564
"ACAT1",0.161115311287756,0.438331427140537,0.668697146954171
"ACAT2",0.312851573407766,0.146798369303343,0.430493361859239
"ACBD3",0.0659608286185573,0.201178536383832,0.491910376960667
"ACBD4",0.0693363803145584,0.680980143684663,0.839029314840142
"ACBD5",-0.0255657647464695,0.729742625263643,0.869196995548764
"ACBD6",-0.34451088742953,0.0165336756687516,0.146585516855163
"ACBD7",0.078933813474045,0.449765482306085,0.67803020953128
"ACCN1",-0.210970464009544,0.00467748311168204,0.0845250046656727
"ACCN2",-0.307420669052918,0.105982852867023,0.363899428024333
"ACCN3",0.243832449923132,0.094022334640088,0.341092038714854
"ACCN4",-0.0357242300224106,0.043435809547706,0.231776914538748
"ACCN5",-0.0464504619130907,0.0596458659946157,0.272087932829077
"ACCS",-0.0269141158670636,0.90810020045678,0.960122914731357
"ACD",-0.0923248962187313,0.36821406468636,0.632969171284309
"ACE",-0.0226061781369589,0.933834232852457,0.972099977570017
"ACE2",0.00595236697729474,0.391002218955771,0.632969171284309
"ACER1",0.0355331764425087,0.20247068742226,0.493022846681393
"ACER2",-0.21925472757299,0.0485938667485008,0.243835064908434
"ACER3",0.623212870358781,0.00110513263557457,0.0440900462855876
"ACHE",-0.0621158573307621,0.132488521041601,0.409406914624541
"ACIN1",-0.287989497505734,0.0313584972093222,0.196377012421168
"ACLY",0.163426891692962,0.226742091200339,0.519819016207077
"ACMSD",0.0152820164940154,0.391002218955771,0.632969171284309
"ACN9",0.0271786069730062,0.883878563603109,0.947806626798495
"ACO1",0.0054695081009708,0.977039391505886,0.990133156099775
"ACO2",0.115548069505305,0.115844201035023,0.381726341123123
"ACOT1",0.671284585290979,0.0170399570749008,0.148640479828135
"ACOT11",-0.00422248594449104,0.966967063332838,0.986435335351171
"ACOT12",-0.552957971282416,0.0278809905724621,0.186199027761247
"ACOT13",-0.369919696007114,0.048171707708961,0.24310430733674
"ACOT2",0.667487693850528,0.00758296857031046,0.102793711518512
"ACOT4",0.231316105452779,0.266125948824383,0.567752704630443
"ACOT6",-0.0117052103087323,0.391002218955771,0.632969171284309
"ACOT7",-0.0720106474797833,0.427061653103861,0.659566284462824
"ACOT8",-0.179140819149327,0.0726013895849155,0.299688913592448
"ACOT9",0.416698048411435,0.00376964296822868,0.0774491012176261
"ACOX1",-0.0869695970261581,0.142473256404991,0.423946557564218
"ACOX2",-0.292566610536638,0.013572745808478,0.133359631510824
"ACOX3",-0.0176326809542973,0.86719050424743,0.94008926532853
"ACOXL",-0.114930547728074,0.19360602656399,0.484127846455643
"ACP1",0.12351401877724,0.108152457541214,0.367164289403575
"ACP2",0.382925651621681,0.0878899538535447,0.330423217962364
"ACP5",-0.765774123793456,0.0789106841092379,0.313481241819078
"ACP6",-0.201269450899608,0.369270100414306,0.632969171284309
"ACPL2",-0.698113921274109,0.00482437822619324,0.0855228142830008
"ACPP",-0.139081926972133,0.17085584351728,0.462710766849892
"ACPT",-0.0281219017945187,0.19827143796527,0.48875802673519
"ACR",-0.00616999437352603,0.712118281822028,0.858411282032583
"ACRBP",-0.053750845195448,0.268092382701845,0.569846589240692
"ACRC",0.0832708420118168,0.198789841802859,0.489334658704439
"ACRV1",-0.0141053496889528,0.722699449532976,0.864619394585438
"ACSBG1",0.0511215235125415,0.14025026526682,0.421437144156887
"ACSBG2",-0.165074021386775,0.00114830484485159,0.0449017230479793
"ACSF2",0.0806972279628733,0.570244029481294,0.76895104558281
"ACSF3",0.0690007702174089,0.492701104270833,0.710853901710297
"ACSL1",1.51367998810295,0.000111162270602304,0.0199559822137994
"ACSL3",-0.419411278426127,0.0363034593109567,0.211614105653609
"ACSL4",-0.318211280923627,0.272473071805126,0.574196668560055
"ACSL5",-0.0930803627261694,0.643868365951552,0.817454712473309
"ACSL6",0.0262745014580401,0.434695717482637,0.665439709105669
"ACSM3",-0.0334345230967706,0.503961743506075,0.71988184662235
"ACSM4",0.00778159879333448,0.391002218955771,0.632969171284309
"ACSM5",-0.00605867594979049,0.391002218955771,0.632969171284309
"ACSS1",1.64156813997694,0.00196160273563875,0.0584761411796513
"ACSS2",0.249846428065049,0.0138709425615096,0.134152217545688
"ACSS3",0.0772194665800194,0.615864276552743,0.798765773526829
"ACTA1",0.00297604395577489,0.924033020444207,0.968822098065103
"ACTA2",1.14933135831032,0.0188894742740696,0.156211933209476
"ACTB",0.883739938039499,0.00940730039797507,0.114765521615975
"ACTBL2",0.00470169362844039,0.391002218955771,0.632969171284309
"ACTC1",0.00213880536807472,0.932860465508596,0.971675197851603
"ACTG1",0.601004664018342,0.00484199756742148,0.0856226196727174
"ACTG2",1.58305918160469,0.0629433448943938,0.279467397593783
"ACTL10",0.131905040828268,0.212728930314696,0.503002072239421
"ACTL6A",0.0393714282704813,0.76536990996652,0.89008430556456
"ACTL7B",-0.00942416590555182,0.391002218955771,0.632969171284309
"ACTL8",-0.209005091560571,0.3997530352898,0.638986715563577
"ACTN1",0.391568301437681,0.160160545995645,0.449272524665035
"ACTN2",0.0436593110117593,0.352817229192488,0.632969171284309
"ACTN3",0.00756330718342698,0.662628883009593,0.829356932701185
"ACTN4",0.773311036214216,0.0125099564223741,0.12883862910038
"ACTR10",0.0901248591887942,0.164481994079088,0.454896866503544
"ACTR1A",0.135148082687415,0.126150491248329,0.398678733542449
"ACTR1B",0.0707393331353607,0.382769078221033,0.632969171284309
"ACTR2",0.297119661515206,0.0194598749646453,0.157738715492351
"ACTR3",0.561840969747713,0.00798601027100726,0.105006849530957
"ACTR3B",-0.0312139950206476,0.577138086324777,0.773772950768689
